('default', [[2, 6], [10, 8], [7, 6], [9, 6], [11, 11], [4, 3], [5, 9], [1, 9], [0, 9], [6, 12], [3, 8], [8, 9], [7, -1], [5, -5], [6, 5], [4, -1], [2, -4], [0, 5], [1, 0], [3, 1]], 49.842999935150146)
[-8.17, 'move', [27, 49, 20], [-26, 32, -42], [46, -10, -36]]
[-8.14, 'move', [27, 49, 20], [-17, 30, -48], [50, -16, -28]]
[-8.13, 'move', [27, 49, 20], [-8, 27, -52], [52, -21, -19]]
[-8.09, 'move', [27, 49, 20], [0, 22, -55], [53, -25, -10]]
[-8.08, 'move', [27, 49, 20], [9, 18, -56], [52, -29, 0]]
[-8.05, 'move', [27, 49, 20], [18, 12, -55], [49, -31, 9]]
[-8.02, 'move', [27, 49, 20], [9, 18, -56], [52, -29, 0]]
[-8.00, 'move', [27, 49, 20], [0, 22, -55], [53, -25, -10]]
[-7.97, 'move', [27, 49, 20], [-8, 27, -52], [52, -21, -19]]
[-7.94, 'move', [27, 49, 20], [-17, 30, -48], [50, -16, -28]]
[-7.92, 'move', [27, 49, 20], [-26, 32, -42], [46, -10, -36]]
[-7.89, 'move', [27, 49, 20], [-33, 34, -36], [41, -4, -43]]
[-7.86, 'move', [27, 49, 20], [-40, 34, -27], [34, 1, -48]]
[-7.84, 'move', [27, 49, 20], [-45, 33, -19], [27, 7, -52]]
[-7.81, 'move', [27, 49, 20], [-49, 31, -9], [18, 12, -55]]
[-7.78, 'move', [27, 49, 20], [-52, 29, 0], [9, 18, -56]]
[-7.77, 'move', [27, 49, 20], [-53, 25, 10], [0, 22, -55]]
[-7.73, 'move', [27, 49, 20], [-52, 21, 19], [-8, 27, -52]]
[-7.72, 'move', [27, 49, 20], [-50, 16, 28], [-17, 30, -48]]
[-7.69, 'move', [27, 49, 20], [-46, 10, 36], [-26, 32, -42]]
[-7.66, 'move', [27, 49, 20], [-41, 4, 43], [-33, 34, -36]]
[-7.64, 'move', [27, 49, 20], [-34, -1, 48], [-40, 34, -27]]
[-7.61, 'move', [33, 48, 11], [-29, 7, 51], [-40, 34, -27]]
[-7.58, 'move', [37, 46, 2], [-23, 15, 53], [-40, 34, -27]]
[-7.56, 'move', [41, 43, -6], [-16, 23, 52], [-40, 34, -27]]
[-7.53, 'move', [43, 38, -15], [-9, 30, 50], [-40, 34, -27]]
[-7.50, 'move', [44, 32, -24], [-1, 36, 47], [-40, 34, -27]]
[-7.48, 'move', [43, 25, -31], [6, 42, 42], [-40, 34, -27]]
[-7.45, 'move', [42, 17, -38], [13, 45, 36], [-40, 34, -27]]
[-7.42, 'move', [38, 9, -44], [20, 48, 28], [-40, 34, -27]]
[-7.36, 'move', [31, 15, -48], [20, 48, 28], [-46, 32, -19]]
[-7.34, 'move', [22, 20, -51], [20, 48, 28], [-51, 28, -11]]
[-7.31, 'move', [13, 25, -52], [20, 48, 28], [-54, 24, -1]]
[-7.28, 'move', [3, 29, -52], [20, 48, 28], [-56, 20, 7]]
[-7.27, 'move', [-5, 32, -50], [20, 48, 28], [-55, 14, 16]]
[-7.23, 'move', [-15, 34, -46], [20, 48, 28], [-54, 8, 24]]
[-7.20, 'move', [-24, 35, -41], [20, 48, 28], [-50, 2, 32]]
[-7.19, 'move', [-33, 35, -35], [20, 48, 28], [-45, -3, 39]]
[-7.16, 'move', [-40, 34, -27], [20, 48, 28], [-38, -9, 44]]
[-7.13, 'move', [-46, 32, -19], [20, 48, 28], [-31, -15, 48]]
[-7.11, 'move', [-51, 28, -11], [20, 48, 28], [-22, -20, 51]]
[-7.08, 'move', [-54, 24, -1], [20, 48, 28], [-13, -25, 52]]
[-7.06, 'move', [-56, 20, 7], [20, 48, 28], [-3, -29, 52]]
[-7.03, 'move', [-55, 14, 16], [20, 48, 28], [5, -32, 50]]
[-7.00, 'move', [-54, 8, 24], [20, 48, 28], [15, -34, 46]]
[-6.98, 'move', [-50, 2, 32], [20, 48, 28], [24, -35, 41]]
[-6.95, 'move', [-45, -3, 39], [20, 48, 28], [33, -35, 35]]
[-6.92, 'move', [-38, -9, 44], [20, 48, 28], [40, -34, 27]]
[-6.91, 'move', [-31, -15, 48], [20, 48, 28], [46, -32, 19]]
[-6.88, 'move', [-22, -20, 51], [20, 48, 28], [51, -28, 11]]
[-6.86, 'move', [-18, -12, 55], [24, 51, 19], [51, -28, 11]]
[-6.83, 'move', [-14, -3, 58], [27, 52, 9], [51, -28, 11]]
[-6.80, 'move', [-9, 6, 58], [29, 52, 0], [51, -28, 11]]
[-6.78, 'move', [-3, 15, 57], [30, 50, -10], [51, -28, 11]]
[-6.73, 'move', [4, 9, 58], [30, 50, -10], [51, -31, 0]]
[-6.70, 'move', [13, 4, 58], [30, 50, -10], [49, -32, -9]]
[-6.67, 'move', [22, -1, 55], [30, 50, -10], [46, -32, -19]]
[-6.66, 'move', [29, -7, 51], [30, 50, -10], [41, -31, -28]]
[-6.63, 'move', [36, -12, 45], [30, 50, -10], [36, -30, -37]]
[-6.61, 'move', [42, -17, 38], [30, 50, -10], [29, -27, -44]]
[-6.58, 'move', [46, -22, 30], [30, 50, -10], [21, -24, -50]]
[-6.55, 'move', [49, -25, 20], [30, 50, -10], [12, -19, -55]]
[-6.53, 'move', [51, -28, 11], [30, 50, -10], [3, -15, -57]]
[-6.50, 'move', [51, -31, 0], [30, 50, -10], [-4, -9, -58]]
[-6.47, 'move', [49, -32, -9], [30, 50, -10], [-13, -4, -58]]
[-6.45, 'move', [46, -32, -19], [30, 50, -10], [-22, 1, -55]]
[-6.42, 'move', [41, -31, -28], [30, 50, -10], [-29, 7, -51]]
[-6.41, 'move', [36, -30, -37], [30, 50, -10], [-36, 12, -45]]
[-6.38, 'move', [29, -27, -44], [30, 50, -10], [-42, 17, -38]]
[-6.34, 'move', [21, -24, -50], [30, 50, -10], [-46, 22, -30]]
[-6.33, 'move', [15, -32, -48], [33, 45, -19], [-46, 22, -30]]
[-6.30, 'move', [9, -39, -43], [36, 39, -27], [-46, 22, -30]]
[-6.27, 'move', [3, -45, -38], [37, 31, -34], [-46, 22, -30]]
[-6.25, 'move', [-3, -50, -31], [37, 23, -40], [-46, 22, -30]]
[-6.22, 'move', [-3, -50, -31], [28, 26, -45], [-52, 17, -22]]
[-6.19, 'move', [-3, -50, -31], [18, 29, -48], [-56, 12, -14]]
[-6.17, 'move', [-3, -50, -31], [8, 31, -50], [-59, 7, -5]]
[-6.14, 'move', [-3, -50, -31], [-1, 31, -50], [-59, 1, 3]]
[-6.13, 'move', [-3, -50, -31], [-12, 31, -49], [-58, -3, 11]]
[-6.09, 'move', [-3, -50, -31], [-22, 30, -46], [-55, -9, 20]]
