('default', [[2, 11], [9, 6], [7, 7], [6, 8], [0, 11], [5, 9], [4, 12], [1, 16], [11, 11], [10, 7], [3, 11], [8, 9], [6, 2], [7, 2], [1, 6], [2, 2], [3, -4], [4, -1], [5, -3], [0, 5]], 36.359999895095825)
[-5.31, 'move', [-1, 20, 56], [-58, -12, 2], [-12, 55, -20]]
[-5.30, 'move', [8, 22, 55], [-58, -8, 12], [-12, 55, -20]]
[-4.77, 'move', [-1, 20, 56], [-58, -12, 2], [-12, 55, -20]]
[-4.75, 'move', [-12, 18, 55], [-57, -15, -7], [-12, 55, -20]]
[-4.72, 'move', [-21, 15, 53], [-54, -18, -16], [-12, 55, -20]]
[-4.70, 'move', [-30, 11, 50], [-49, -20, -26], [-12, 55, -20]]
[-4.67, 'move', [-39, 7, 44], [-43, -22, -34], [-12, 55, -20]]
[-4.64, 'move', [-46, 3, 38], [-36, -23, -41], [-12, 55, -20]]
[-4.63, 'move', [-51, 0, 30], [-27, -23, -47], [-12, 55, -20]]
[-4.59, 'move', [-55, -4, 21], [-18, -23, -52], [-12, 55, -20]]
[-4.23, 'move', [-58, -8, 12], [-8, -22, -55], [-12, 55, -20]]
[0.09, 'turn', 'R1']
[0.56, 'turn', 'R1']
[0.72, 'turn', 'B1']
[0.84, 'turn', 'R3']
[1.28, 'move', [-58, -12, 2], [1, -20, -56], [-12, 55, -20]]
[1.31, 'move', [-57, -15, -7], [12, -18, -55], [-12, 55, -20]]
[1.33, 'move', [-54, -18, -16], [21, -15, -53], [-12, 55, -20]]
[1.36, 'move', [-49, -20, -26], [30, -11, -50], [-12, 55, -20]]
[1.39, 'move', [-43, -22, -34], [39, -7, -44], [-12, 55, -20]]
[1.41, 'move', [-36, -23, -41], [46, -3, -38], [-12, 55, -20]]
[1.44, 'move', [-27, -23, -47], [51, 0, -30], [-12, 55, -20]]
[1.47, 'move', [-18, -23, -52], [55, 4, -21], [-12, 55, -20]]
[1.48, 'move', [-8, -22, -55], [58, 8, -12], [-12, 55, -20]]
[1.52, 'move', [1, -20, -56], [58, 12, -2], [-12, 55, -20]]
[1.55, 'move', [12, -18, -55], [57, 15, 7], [-12, 55, -20]]
[2.30, 'move', [1, -20, -56], [58, 12, -2], [-12, 55, -20]]
[2.33, 'move', [-8, -22, -55], [58, 8, -12], [-12, 55, -20]]
[2.36, 'move', [-18, -23, -52], [55, 4, -21], [-12, 55, -20]]
[2.38, 'move', [-27, -23, -47], [51, 0, -30], [-12, 55, -20]]
[2.41, 'move', [-36, -23, -41], [46, -3, -38], [-12, 55, -20]]
[2.44, 'move', [-43, -22, -34], [39, -7, -44], [-12, 55, -20]]
[2.45, 'move', [-49, -20, -26], [30, -11, -50], [-12, 55, -20]]
[2.48, 'move', [-54, -18, -16], [21, -15, -53], [-12, 55, -20]]
[2.52, 'move', [-57, -15, -7], [12, -18, -55], [-12, 55, -20]]
[2.88, 'turn', 'L1']
[2.98, 'move', [-58, -12, 2], [1, -20, -56], [-12, 55, -20]]
[3.02, 'move', [-58, -8, 12], [-8, -22, -55], [-12, 55, -20]]
[3.05, 'move', [-55, -4, 21], [-18, -23, -52], [-12, 55, -20]]
[3.06, 'move', [-51, 0, 30], [-27, -23, -47], [-12, 55, -20]]
[3.09, 'move', [-46, 3, 38], [-36, -23, -41], [-12, 55, -20]]
[3.13, 'move', [-39, 7, 44], [-43, -22, -34], [-12, 55, -20]]
[3.14, 'move', [-30, 11, 50], [-49, -20, -26], [-12, 55, -20]]
[3.17, 'move', [-21, 15, 53], [-54, -18, -16], [-12, 55, -20]]
[3.19, 'move', [-12, 18, 55], [-57, -15, -7], [-12, 55, -20]]
[3.22, 'move', [-1, 20, 56], [-58, -12, 2], [-12, 55, -20]]
[3.25, 'move', [8, 22, 55], [-58, -8, 12], [-12, 55, -20]]
[3.45, 'turn', 'D3']
[3.69, 'turn', 'B1']
[3.89, 'turn', 'D1']
[4.17, 'move', [18, 23, 52], [-55, -4, 21], [-12, 55, -20]]
[4.19, 'move', [27, 23, 47], [-51, 0, 30], [-12, 55, -20]]
[4.22, 'move', [36, 23, 41], [-46, 3, 38], [-12, 55, -20]]
